,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
51,Hobyo,48,SO,1553654823,86,5.35,48.53,27.1,5.62
52,Pacific Grove,75,US,1553608950,77,36.62,-121.92,16.67,4.1
53,Puerto Ayora,0,EC,1553601829,92,-0.74,-90.35,25.56,0.89
54,New Norfolk,0,AU,1553631682,22,-42.78,147.06,21.67,3.6
55,Tuktoyaktuk,90,CA,1553610254,92,69.44,-133.03,-6.0,6.2
56,Sobolevo,32,RU,1553657901,72,54.43,31.9,-7.41,3.02
57,Vestmannaeyjar,92,IS,1553669932,93,63.44,-20.27,5.6,11.87
58,Navirai,0,BR,1553593348,69,-23.07,-54.19,21.55,4.62
59,Tromso,90,NO,1553659994,100,69.65,18.96,-3.0,18.0
60,Hobart,0,AU,1553631618,22,-42.88,147.33,21.67,3.6
61,Pisco,0,PE,1553598548,83,-13.71,-76.2,21.0,2.6
62,Jamestown,0,AU,1553633595,78,-33.21,138.6,18.85,3.27
63,Bonavista,64,CA,1553678470,78,48.65,-53.11,-3.89,2.68
64,Yellowknife,90,CA,1553606332,73,62.45,-114.38,-3.0,4.1
65,Faya,0,SA,1553656132,87,18.39,42.45,15.0,4.6
66,Hilo,75,US,1553617146,60,19.71,-155.08,23.33,3.6
67,Yumen,24,CN,1553642692,49,40.29,97.04,8.2,11.72
68,Port Lincoln,56,AU,1553634270,87,-34.72,135.86,19.7,2.22
69,Katsuura,75,JP,1553633831,58,33.93,134.5,19.44,4.6
70,Ialibu,80,PG,1553632034,86,-6.28,143.99,18.0,0.97
71,Bayangol,0,MN,1553640310,39,48.91,106.09,-2.96,1.97
72,Bilma,0,NE,1553663211,21,18.69,12.92,15.7,3.12
73,Adrar,40,DZ,1553666251,82,27.87,-0.29,16.0,5.1
74,Siverek,75,TR,1553656581,100,37.75,39.32,6.11,2.6
75,Srednekolymsk,80,RU,1553627973,56,67.46,153.71,-14.46,5.52
76,Santa Maria,68,BR,1553679753,84,-29.69,-53.81,14.95,3.57
77,Pattoki,8,PK,1553648423,73,31.02,73.85,22.55,1.07
78,San Policarpo,80,PH,1553636281,98,12.18,125.51,26.4,5.87
79,Arraial do Cabo,24,BR,1553676847,98,-22.97,-42.02,24.8,2.12
80,East London,56,ZA,1553660172,100,-33.02,27.91,20.7,4.47
81,Taranagar,0,IN,1553648174,32,28.67,75.04,23.55,1.37
82,Kot Samaba,8,PK,1553649272,58,28.55,70.47,23.9,3.27
83,Norman Wells,20,CA,1553609129,51,65.28,-126.83,3.0,3.1
84,Pedasi,0,PA,1553599275,85,7.53,-80.03,24.85,9.37
85,Katiola,20,CI,1553667660,78,8.14,-5.1,24.35,1.92
86,Las Vegas,75,US,1553607335,18,36.17,-115.15,24.0,2.6
87,Mount Isa,90,AU,1553633252,88,-20.73,139.49,25.0,5.1
88,Saint Anthony,1,US,1553606348,42,43.97,-111.68,9.0,4.1
89,Vao,0,EE,1553659062,89,59.1,26.19,-5.66,3.12
90,Carnarvon,44,ZA,1553661535,64,-30.97,22.13,9.9,1.52
91,Gaoua,56,BF,1553667174,73,10.33,-3.18,25.05,3.42
92,Tasiilaq,64,GL,1553673928,57,65.61,-37.64,-5.0,3.1
93,Xining,20,CN,1553641631,39,36.62,101.77,5.0,1.67
94,Punta Arenas,40,CL,1553684227,62,-53.16,-70.91,11.0,7.7
95,Pitimbu,75,BR,1553674954,94,-7.47,-34.81,24.0,2.6
96,Dikson,76,RU,1553644730,94,73.51,80.55,-1.26,13.57
97,Zionsville,1,US,1553600339,92,39.95,-86.26,3.33,2.67
98,Avarua,56,CK,1553618678,79,-21.21,-159.78,29.0,1.5
99,Slavutych,92,UA,1553658280,80,51.52,30.76,-1.21,3.32
100,Codo,12,ID,1553639556,95,-8.13,112.72,27.7,1.42
101,Sioux Lookout,90,CA,1553601456,64,50.1,-91.92,3.0,3.1
102,Ajaccio,0,FR,1553663823,75,41.93,8.74,10.0,1.0
103,Fortuna,0,ES,1553666270,50,38.18,-1.13,14.0,3.1
104,Demmin,75,DE,1553662442,93,53.91,13.03,5.0,5.1
105,Lich,0,DE,1553663570,93,50.52,8.82,5.0,0.5
106,High Level,75,CA,1553607192,74,58.52,-117.13,3.0,1.0
107,Kurilsk,80,RU,1553630393,95,45.23,147.88,-1.56,10.82
108,Caravelas,8,BR,1553676131,100,-17.73,-39.27,27.8,4.82
109,Nadym,88,RU,1553647568,93,65.53,72.51,0.6,7.92
110,Cabo San Lucas,90,MX,1553606274,43,22.89,-109.91,23.0,3.6
111,Ilulissat,76,GL,1553676804,71,69.22,-51.1,-14.0,1.5
112,Bethel,75,US,1553617770,86,60.79,-161.76,4.0,7.7
113,Laguna,20,MX,1553606237,37,27.52,-110.01,23.15,1.42
114,Cherskiy,80,RU,1553626035,73,68.75,161.3,-11.36,6.37
115,Toora-Khem,0,RU,1553642589,49,52.47,96.11,-3.31,1.12
116,Inta,88,RU,1553650490,87,66.04,60.13,-1.11,4.32
117,Madang,24,PG,1553631587,90,-5.21,145.81,28.1,1.32
118,Komsomolskiy,80,RU,1553649486,95,67.55,63.78,-1.71,7.47
119,Lipin Bor,56,RU,1553656180,86,60.26,37.97,-6.86,1.77
120,Wadowice,0,PL,1553661033,80,49.88,19.49,0.56,2.6
121,Ishigaki,20,JP,1553636457,65,24.34,124.16,25.0,4.6
122,Torbay,90,CA,1553678408,67,47.66,-52.73,-3.89,2.6
123,Narsaq,36,GL,1553676264,57,60.91,-46.05,-8.0,12.9
124,Cabedelo,75,BR,1553674956,94,-6.97,-34.84,24.0,2.6
125,Cidreira,76,BR,1553678897,88,-30.17,-50.22,18.95,2.32
126,Mar del Plata,0,AR,1553683281,53,-46.43,-67.52,14.35,3.87
127,Lakatoro,88,VU,1553626503,91,-16.11,167.42,27.7,4.27
128,Presidencia Roque Saenz Pena,80,AR,1553681311,85,-26.79,-60.44,15.8,2.87
129,Grindavik,75,IS,1553670421,86,63.84,-22.43,6.11,11.3
130,Saldanha,0,PT,1553667500,35,41.42,-6.55,6.45,6.17
131,Barrow,0,AR,1553681405,91,-38.31,-60.23,8.45,3.62
132,Juneau,20,US,1553611343,40,58.3,-134.42,12.0,4.6
133,Seymchan,56,RU,1553628626,71,62.93,152.39,-12.31,7.27
134,Faanui,12,PF,1553616707,100,-16.48,-151.75,29.35,2.67
135,Mogadishu,12,SO,1553655623,96,2.04,45.34,28.55,7.07
136,Kuala Kangsar,75,MY,1553642255,70,4.77,100.94,32.0,2.1
137,Padang,75,ID,1553642452,88,-0.92,100.36,27.0,1.0
138,Emerald,90,AU,1553631198,55,-23.53,148.16,30.0,6.7
139,Severo-Kurilsk,88,RU,1553628268,96,50.68,156.12,-1.16,4.17
140,Sitamarhi,0,IN,1553645699,68,26.6,85.49,23.5,1.97
141,Iranshahr,0,IR,1553651637,59,27.21,60.69,19.0,4.1
142,Bambous Virieux,75,MU,1553652867,94,-20.34,57.76,26.67,4.32
143,Isiro,44,CD,1553659867,96,2.77,27.62,20.0,1.07
144,Cape Town,0,ZA,1553662461,82,-33.93,18.42,19.44,0.5
145,Clarence Town,75,AU,1553630423,47,-32.59,151.78,26.67,5.7
146,Pilar,0,AR,1553681037,72,-34.46,-58.91,17.0,3.1
147,Pedernales,64,EC,1553599350,90,0.07,-80.05,23.15,1.72
148,San Miguelito,40,HN,1553601001,60,13.74,-87.49,22.0,5.1
149,Santa Fe,0,AR,1553681431,73,-31.62,-60.7,18.33,1.79
150,Westport,80,IE,1553667849,74,53.8,-9.52,10.0,1.34
151,Aklavik,75,CA,1553610847,69,68.22,-135.01,3.0,2.1
152,Ikeda,0,JP,1553633593,36,34.82,135.43,18.89,5.7
153,Margate,0,AU,1553631637,22,-43.03,147.26,21.67,3.6
154,Sitka,0,US,1553603601,73,37.17,-99.65,12.22,4.02
155,Lillooet,20,CA,1553608632,69,50.69,-121.94,9.0,6.2
156,Souillac,0,FR,1553665971,63,45.6,-0.6,6.0,3.6
157,Mae Hong Son,8,MM,1553642806,44,19.3,97.96,27.0,1.0
158,Tororo,12,UG,1553658315,90,0.69,34.18,16.95,1.17
159,Russell,40,AR,1553683393,76,-33.01,-68.8,14.0,3.1
160,Saint George,75,GR,1553660617,71,39.45,22.34,12.0,3.1
161,Lokeren,0,BE,1553664708,87,51.1,3.99,8.0,1.5
162,Rawlins,1,US,1553605332,56,41.79,-107.24,8.0,3.6
163,Graham,1,US,1553598765,33,36.07,-79.4,6.67,2.6
164,Aljezur,32,PT,1553668127,56,37.31,-8.8,16.11,14.87
165,Kologriv,80,RU,1553654735,97,58.83,44.31,-0.21,2.27
166,Chisec,100,GT,1553601650,100,15.81,-90.29,18.15,0.27
167,Mangrol,0,IN,1553647871,42,25.33,76.51,27.0,1.77
168,Te Anau,8,NZ,1553626756,64,-45.41,167.72,11.3,4.92
169,Okitipupa,8,NG,1553665307,94,6.5,4.78,25.1,1.32
170,Lorengau,64,PG,1553631206,100,-2.02,147.27,27.85,4.17
171,Telma,0,RU,1553640757,42,52.7,103.72,-2.0,1.0
172,Constitucion,75,MX,1553605003,13,23.99,-104.67,23.0,6.2
173,Ponta do Sol,56,BR,1553677777,84,-20.63,-46.0,19.7,1.12
174,Kasongo,8,CD,1553660169,97,-4.43,26.67,20.85,1.07
175,Taree,75,AU,1553630253,41,-31.91,152.46,24.44,4.1
176,Campbell River,75,CA,1553609443,81,50.02,-125.24,9.0,1.0
177,Nikolskoye,0,RU,1553657929,85,59.7,30.79,-4.44,5.0
178,Kaitangata,32,NZ,1553626257,40,-46.28,169.85,16.11,7.15
179,Nioro,0,GM,1553669981,50,13.79,-15.05,20.9,3.47
180,Rincon,75,US,1553599268,81,32.3,-81.24,13.89,2.1
181,Leningradskiy,80,RU,1553621875,87,69.38,178.42,-0.41,8.62
182,Lommel,76,BE,1553664388,93,51.23,5.31,7.22,0.5
183,Yatou,40,CM,1553664132,100,3.63,9.81,26.0,1.0
184,Buchanan,40,LR,1553668872,94,5.88,-10.05,25.0,2.77
185,Cayenne,40,GF,1553679026,78,4.94,-52.33,26.0,2.6
186,Buala,88,SB,1553628308,87,-8.15,159.59,29.1,3.52
187,Palmer,1,US,1553614696,45,61.6,-149.11,8.0,0.92
188,Sept-Iles,5,CA,1553595333,43,50.2,-66.38,-11.67,4.1
189,Joshimath,0,IN,1553647058,82,30.57,79.57,-12.01,0.62
190,Upernavik,56,GL,1553677530,100,72.79,-56.15,-15.71,1.97
191,Puerto Ayacucho,8,CO,1553596318,79,5.66,-67.63,26.25,1.27
192,Sabinas Hidalgo,92,MX,1553603893,99,26.51,-100.18,17.55,2.42
193,Airai,32,TL,1553636518,84,-8.93,125.41,26.95,0.87
194,Bowen,90,AU,1553631142,66,-20.01,148.25,32.78,4.6
195,Moose Factory,90,CA,1553598712,74,51.26,-80.61,0.0,4.6
196,Atuona,12,PF,1553613593,100,-9.8,-139.03,28.1,6.12
197,Cockburn Town,88,TC,1553596992,100,21.46,-71.14,24.75,5.32
198,Verkhnyaya Tishanka,80,RU,1553655943,99,51.32,40.54,-0.46,2.32
199,La Rioja,92,AR,1553682883,96,-29.41,-66.86,14.7,1.77
200,Okato,92,NZ,1553625193,90,-39.19,173.88,20.0,7.15
201,Saint-Augustin,0,FR,1553665994,62,44.83,-0.61,6.11,3.1
202,Mangan,32,IN,1553644954,63,27.5,88.54,-1.41,0.87
203,Bilibino,80,RU,1553624872,80,68.06,166.44,-6.66,2.27
204,Hay River,75,CA,1553606759,80,60.82,-115.79,1.0,4.47
205,Vila Franca do Campo,20,PT,1553672105,71,37.72,-25.43,14.0,7.7
206,Lebu,0,ET,1553657135,77,8.96,38.73,10.8,2.22
207,Pomabamba,92,PE,1553598808,97,-8.82,-77.46,8.0,1.07
208,Salalah,40,OM,1553653355,83,17.01,54.1,25.0,1.5
209,Evensk,80,RU,1553627046,100,61.92,159.24,-7.11,4.92
210,Khuzhir,0,RU,1553639870,72,53.19,107.35,-3.81,2.02
211,Dingle,68,PH,1553636976,73,11.0,122.67,28.3,5.82
212,Yulara,0,AU,1553635337,21,-25.24,130.99,27.0,4.1
213,Oranjemund,0,ZA,1553662876,95,-28.55,16.43,15.45,1.02
214,Ourem,0,PT,1553668028,41,39.64,-8.59,16.67,4.6
215,Codrington,75,AU,1553630034,88,-28.95,153.24,22.0,5.7
216,Rocha,48,UY,1553679940,78,-34.48,-54.34,15.7,3.52
217,Richards Bay,88,ZA,1553659126,93,-28.77,32.06,19.8,0.97
218,Yeniseysk,20,RU,1553643291,85,58.45,92.17,-1.96,1.62
219,Portland,1,US,1553608946,50,45.52,-122.67,12.0,1.27
220,Bluff,92,AU,1553630980,46,-23.58,149.07,31.15,4.12
221,Itoman,40,JP,1553635590,53,26.12,127.67,23.0,5.7
222,Ambunti,20,PG,1553632295,68,-4.22,142.82,31.65,1.22
223,Mahebourg,75,MU,1553652882,94,-20.41,57.7,26.67,4.32
224,Ahipara,92,NZ,1553625319,71,-35.17,173.16,22.55,7.47
225,Ilo,8,PE,1553597416,97,-17.65,-71.34,15.05,1.42
226,Maple Creek,88,CA,1553605665,64,49.91,-109.46,6.45,3.87
227,Vilyuysk,0,RU,1553635937,60,63.75,121.63,-10.91,2.67
228,Lalsk,48,RU,1553653850,87,60.74,47.59,-2.51,3.42
229,Saint-Joseph,0,FR,1553664209,51,43.56,6.97,9.44,1.5
230,Tongliao,64,CN,1553636570,55,43.61,122.27,2.95,4.57
231,Dunedin,0,NZ,1553626095,55,-45.87,170.5,16.67,9.39
232,Honiara,48,SB,1553628231,92,-9.43,159.96,27.2,1.32
233,Ciudad Dario,20,NI,1553600683,61,12.73,-86.12,28.0,7.2
234,Rio Gallegos,0,AR,1553683788,71,-51.62,-69.22,10.0,1.0
235,Siteki,80,SZ,1553659127,84,-26.45,31.95,19.1,2.52
236,Clearwater,1,US,1553599705,77,27.97,-82.8,19.44,3.1
237,Ruse,0,BG,1553659652,94,43.85,25.95,5.56,1.77
238,Lavrentiya,88,RU,1553705849,95,65.58,-170.99,0.55,13.97
239,Barranca,0,PE,1553598897,99,-10.75,-77.76,19.95,3.57
240,Mahibadhoo,0,MV,1553648976,100,3.78,72.97,28.9,4.57
241,Qaqortoq,56,GL,1553676271,57,60.72,-46.03,-8.0,12.9
242,Gigmoto,64,PH,1553636532,93,13.78,124.39,27.35,6.42
243,Praia da Vitoria,40,PT,1553672478,82,38.73,-27.07,14.0,6.57
244,Victoria,75,BN,1553638819,66,5.28,115.24,31.0,2.1
245,Quibdo,36,CO,1553598484,94,5.69,-76.66,24.6,0.12
246,Port Moresby,40,PG,1553631303,62,-9.47,147.16,32.0,6.7
247,Aiquile,92,BO,1553595943,100,-18.2,-65.18,11.1,1.12
248,Lomovka,40,RU,1553651579,73,53.92,58.37,-4.0,4.0
249,Sigli,64,ID,1553643443,93,5.38,95.96,28.1,1.62
250,Mizdah,20,LY,1553663011,70,31.45,12.98,9.35,1.32
251,Thompson,90,CA,1553602692,74,55.74,-97.86,2.0,3.1
252,Vanimo,12,PG,1553632645,100,-2.67,141.3,27.85,5.62
253,Ugoofaaru,0,MV,1553648949,100,5.67,73.0,28.85,2.57
254,Hasaki,20,JP,1553632282,36,35.73,140.83,20.0,6.2
255,Kerema,32,PG,1553631620,75,-7.96,145.78,29.1,1.47
256,Correntina,92,BR,1553677371,95,-13.34,-44.63,20.95,2.17
257,Provideniya,75,RU,1553706480,86,64.42,-173.23,1.0,14.0
258,Olinda,75,EC,1553599297,83,-2.03,-79.75,26.11,4.6
259,Mandalgovi,0,MN,1553640353,72,45.76,106.27,-4.96,5.12
260,Bubaque,0,GW,1553670198,100,11.28,-15.83,25.05,6.57
261,Namibe,44,AO,1553663762,100,-15.19,12.15,24.75,2.17
262,Opuwo,76,NA,1553663386,86,-18.06,13.84,15.05,1.27
263,Ruidoso,40,US,1553605109,62,33.33,-105.67,21.0,6.2
264,Biak,68,ID,1553637048,85,-0.91,122.88,29.15,0.67
265,Arroio Grande,88,BR,1553679611,100,-32.24,-53.09,18.2,4.47
266,Stepnogorsk,0,KZ,1553648398,73,52.35,71.88,-3.46,2.22
267,Nizwa,48,OM,1553652456,63,22.93,57.53,16.6,1.62
268,Rawson,0,AR,1553682651,49,-43.3,-65.11,15.8,6.92
269,Boden,90,SE,1553659708,62,65.83,21.69,-4.0,1.5
270,Metro,36,ID,1553641305,99,-5.11,105.31,27.45,1.77
271,Bambanglipuro,32,ID,1553640140,94,-7.95,110.28,27.7,1.87
272,San-Pedro,12,CI,1553668066,92,4.75,-6.64,25.9,2.62
273,Nome,1,US,1553602462,55,30.04,-94.42,18.0,2.6
274,Clyde River,1,CA,1553594727,68,70.47,-68.59,-26.0,1.5
275,Kodiak,1,US,1553602377,43,39.95,-94.76,12.0,5.7
276,Kindu,76,CD,1553660334,97,-2.95,25.92,21.1,1.07
277,Tigil,80,RU,1553627392,86,57.8,158.67,-8.21,3.12
278,Capao da Canoa,76,BR,1553678842,100,-29.75,-50.01,22.2,4.77
279,Arona,0,IT,1553663772,64,45.76,8.56,7.78,3.1
280,Ostrovnoy,0,RU,1553655246,81,68.05,39.51,-8.21,5.97
281,Baykit,0,RU,1553642110,78,61.68,96.39,-4.56,1.52
282,Auki,0,NG,1553664828,30,12.18,6.51,19.1,4.32
283,Atar,0,MR,1553669416,70,20.52,-13.05,10.45,1.07
284,Snasa,92,NO,1553662058,94,64.25,12.38,2.45,4.32
285,Safranbolu,32,TR,1553658097,100,41.25,32.69,-2.06,0.77
286,Birao,32,CF,1553660947,48,10.3,22.78,21.95,2.37
287,Beringovskiy,48,RU,1553622170,90,63.05,179.32,-0.51,12.02
288,Belousovka,90,KZ,1553645921,100,50.13,82.52,-6.0,1.0
289,Sucre,92,BO,1553595969,100,-19.05,-65.26,8.85,1.22
290,Bonanza,8,NI,1553600310,60,14.03,-84.62,24.9,2.47
291,Wewak,8,PG,1553632094,96,-3.55,143.63,29.05,1.67
292,Puerto Madryn,0,AR,1553682626,74,-42.77,-65.04,16.95,9.62
293,Lagoa,0,PT,1553668046,48,37.14,-8.45,16.11,11.8
294,Sharjah,0,AE,1553652935,69,25.36,55.39,26.11,7.7
295,Sao Felix do Xingu,36,BR,1553679068,99,-6.64,-51.99,22.25,0.97
296,Vostok,76,RU,1553633250,61,46.45,135.83,-5.01,2.52
297,Howard Springs,75,AU,1553635198,66,-12.5,131.05,34.44,3.1
298,Katherine,40,AU,1553634927,49,-14.47,132.26,33.0,4.6
299,Nedumangad,20,IN,1553647958,62,8.61,77.0,31.0,2.1
300,Sovetskiy,88,RU,1553653835,97,56.76,48.47,0.25,6.17
301,Fairbanks,90,US,1553614161,75,64.84,-147.72,8.33,2.37
302,Antsohihy,12,MG,1553655157,98,-14.88,47.99,22.6,1.32
303,Carmen,12,PH,1553636505,35,7.2,124.8,34.35,0.52
304,Simao,8,CN,1553642083,54,22.76,100.79,25.3,1.27
305,Wentzville,1,US,1553601461,65,38.81,-90.85,7.78,2.42
306,Ossora,32,RU,1553626271,91,59.24,163.07,-7.06,4.47
307,Kapit,32,MY,1553639404,70,2.02,112.94,30.2,1.22
308,Salt,0,ES,1553665248,34,41.97,2.79,12.78,2.1
309,Vuktyl,88,RU,1553651329,76,63.86,57.31,-0.36,4.02
310,Saint-Philippe,1,CA,1553597160,53,45.36,-73.48,-2.22,3.6
311,Flinders,75,AU,1553630669,56,-34.58,150.85,22.78,3.1
312,Kruisfontein,32,ZA,1553660947,82,-34.0,24.73,14.9,4.77
313,Jawhar,0,IN,1553648730,52,19.91,73.23,26.55,2.12
314,Shush,0,RU,1553644067,54,55.6,89.45,1.4,3.57
315,Ambilobe,100,MG,1553654886,94,-13.19,49.05,23.9,0.87
316,Qiongshan,40,CN,1553639826,70,20.01,110.35,29.0,4.0
317,Klaksvik,64,FO,1553666736,75,62.23,-6.59,6.0,1.5
318,Ulaanbaatar,0,MN,1553640139,32,47.92,106.92,-4.0,3.0
319,Shingu,0,JP,1553633478,41,33.72,135.99,16.0,2.6
320,Kayan,40,MM,1553643171,58,16.91,96.56,30.0,3.1
321,Worland,1,US,1553605456,37,44.02,-107.96,12.0,4.6
322,Gat,0,SN,1553670328,88,14.69,-16.54,19.0,6.7
323,Zhangjiakou,0,CN,1553638405,66,40.77,114.88,7.8,2.77
324,Fagersta,0,SE,1553661506,74,60.0,15.79,0.0,2.6
325,Dubbo,0,AU,1553631183,36,-32.25,148.6,27.0,6.2
326,Luderitz,68,NA,1553663160,86,-26.65,15.16,15.6,3.67
327,Foki,80,RU,1553652430,89,56.69,54.35,1.45,5.42
328,Samdari,0,IN,1553648806,30,25.81,72.58,24.55,1.27
329,Gamba,20,CN,1553644947,88,28.28,88.52,-11.11,4.32
330,Sambava,0,MG,1553654628,100,-14.27,50.17,27.4,1.17
331,Kangaatsiaq,56,GL,1553677467,100,68.31,-53.46,-11.71,3.92
332,Guanica,8,PR,1553596018,85,17.97,-66.91,25.56,2.68
333,Bulri,36,PK,1553649839,35,24.87,68.33,25.7,2.57
334,Grand Gaube,75,MU,1553652887,94,-20.01,57.66,26.67,5.42
335,Fallon,1,US,1553604708,40,46.84,-105.12,11.0,2.1
336,Isangel,40,VU,1553626092,55,-19.55,169.27,32.0,3.1
337,Atasu,80,KZ,1553648572,97,48.68,71.64,4.45,4.07
338,Alice Springs,0,AU,1553634628,29,-23.7,133.88,26.0,6.2
339,Inyonga,92,TZ,1553658899,98,-6.72,32.06,17.05,1.57
340,Ginda,0,IN,1553647315,68,30.69,78.49,19.0,1.5
341,Touho,36,NC,1553627073,56,-20.78,165.23,28.55,3.07
342,Omsukchan,64,RU,1553627834,68,62.53,155.8,-14.96,6.12
343,Hinton,92,CA,1553607499,89,53.4,-117.57,-0.26,1.17
344,Aswan,8,EG,1553658347,66,24.09,32.9,9.1,1.47
345,Trat,40,TH,1553641798,70,12.25,102.51,32.22,2.1
346,Mount Gambier,90,AU,1553633126,67,-37.83,140.78,16.0,3.6
347,Urusha,24,RU,1553636114,39,54.05,122.9,-4.66,3.27
348,Mikhaylovka,0,RU,1553640851,54,52.96,103.29,-0.96,1.62
349,Oytal,88,KZ,1553648332,37,42.91,73.27,13.9,2.07
350,Drochia,32,MD,1553659095,85,48.03,27.81,0.1,5.82
351,Chunoyar,20,RU,1553642103,68,57.45,97.32,-0.11,1.52
352,Pindi Gheb,8,PK,1553648764,48,33.24,72.27,18.55,2.12
353,Todos Santos,90,MX,1553606343,43,23.45,-110.23,23.0,3.6
354,Vung Tau,8,VN,1553640723,84,10.35,107.08,29.45,8.47
355,Puerto Leguizamo,8,CO,1553598088,93,-0.19,-74.78,24.6,1.02
356,Kathmandu,75,NP,1553645723,71,27.71,85.32,14.0,1.5
357,Mecca,0,SA,1553656721,63,21.43,39.83,9.05,1.52
358,Coihaique,0,CL,1553684360,87,-45.58,-72.07,7.0,0.5
359,Sao Jose da Coroa Grande,64,BR,1553675050,97,-8.9,-35.15,25.75,1.87
360,Salvador,75,BR,1553675891,94,-12.98,-38.48,27.0,2.6
361,Mehamn,44,NO,1553657700,84,71.03,27.85,-6.56,2.92
362,Starobaltachevo,92,RU,1553652083,89,56.0,55.92,-0.06,7.52
363,Port-Gentil,44,GA,1553664424,98,-0.72,8.78,27.45,3.07
364,Inirida,0,CO,1553596404,91,3.87,-67.92,24.05,0.87
365,Lodja,56,CD,1553660897,98,-3.52,23.6,21.15,1.87
366,Yar-Sale,80,RU,1553647863,94,66.83,70.83,0.4,8.77
367,Muhos,0,FI,1553658756,85,64.81,26.0,-8.0,2.1
368,Mezhdurechensk,0,RU,1553644472,62,53.69,88.07,-1.06,1.37
369,Mizan Teferi,56,ET,1553657913,95,6.99,35.58,16.0,1.22
370,Preobrazheniye,56,RU,1553633797,39,42.9,133.91,0.5,1.87
371,Damietta,8,EG,1553658497,100,31.42,31.81,9.5,3.32
372,Mana,0,RS,1553661029,74,43.52,20.24,4.0,1.0
